hadoop.common.configuration.version,version of this configuration file,0.23.0
dfs.permissions.superusergroup,The name of the group of super-users. The value should be a single group name.  ,supergroup
dfs.cluster.administrators,"ACL for the admins, this configuration is used to control  who can access the default servlets in the namenode, etc. The value  should be a comma separated list of users and groups. The user list  comes first and is separated by a space followed by the group list,  e.g. ""user1,user2 group1,group2"". Both users and groups are optional,  so ""user1"", "" group1"", """", ""user1 group1"", ""user1,user2 group1,group2""  are all valid (note the leading space in "" group1""). '*' grants access  to all users and groups, e.g. '*', '* ' and ' *' are all valid.   ",
dfs.namenode.acls.enabled," Set to true to enable support for HDFS ACLs (Access Control Lists).  By default, ACLs are disabled.  When ACLs are disabled, the NameNode rejects all RPCs related to setting or getting ACLs.  ",false
dfs.namenode.lazypersist.file.scrub.interval.sec, The NameNode periodically scans the namespace for LazyPersist files with missing blocks and unlinks them from the namespace. This configuration key controls the interval between successive scans. Set it to a negative value to disable this behavior.  ,300
dfs.block.access.token.enable," If ""true"", access tokens are used as capabilities for accessing datanodes. If ""false"", no access tokens are checked on accessing datanodes.  ",false
dfs.block.access.key.update.interval, Interval in minutes at which namenode updates its access keys.  ,600
dfs.block.access.token.lifetime,The lifetime of access tokens in minutes.,600
dfs.datanode.data.dir,"Determines where on the local filesystem an DFS data node  should store its blocks.  If this is a comma-delimited  list of directories, then data will be stored in all named  directories, typically on different devices. The directories should be tagged  with corresponding storage types ([SSD]/[DISK]/[ARCHIVE]/[RAM_DISK]) for HDFS  storage policies. The default storage type will be DISK if the directory does  not have a storage type tagged explicitly. Directories that do not exist will  be created if local filesystem permission allows.  ",file://${hadoop.tmp.dir}/dfs/data
dfs.datanode.data.dir.perm,Permissions for the directories on on the local filesystem where  the DFS data node store its blocks. The permissions can either be octal or  symbolic.,700
dfs.replication,Default block replication.   The actual number of replications can be specified when the file is created.  The default is used if replication is not specified in create time.  ,3
dfs.replication.max,Maximal block replication.   ,512
dfs.namenode.replication.min,Minimal block replication.   ,1
dfs.namenode.maintenance.replication.min,Minimal live block replication in existence of maintenance mode.  ,1
dfs.namenode.safemode.replication.min,   a separate minimum replication factor for calculating safe block count.   This is an expert level setting.   Setting this lower than the dfs.namenode.replication.min   is not recommend and/or dangerous for production setups.   When it's not set it takes value from dfs.namenode.replication.min  ,
dfs.namenode.max-corrupt-file-blocks-returned,"   The maximum number of corrupt file blocks listed by NameNode Web UI,   JMX and other client request.  ",100
dfs.blocksize,"   The default block size for new files, in bytes.   You can use the following suffix (case insensitive):   k(kilo), m(mega), g(giga), t(tera), p(peta), e(exa) to specify the size (such as 128k, 512m, 1g, etc.),   Or provide complete size in bytes (such as 134217728 for 128 MB).  ",134217728
dfs.client.block.write.retries,"The number of retries for writing blocks to the data nodes,   before we signal failure to the application.  ",3
dfs.client.block.write.replace-datanode-on-failure.enable," If there is a datanode/network failure in the write pipeline, DFSClient will try to remove the failed datanode from the pipeline and then continue writing with the remaining datanodes. As a result, the number of datanodes in the pipeline is decreased.  The feature is to add new datanodes to the pipeline. This is a site-wide property to enable/disable the feature. When the cluster size is extremely small, e.g. 3 nodes or less, cluster administrators may want to set the policy to NEVER in the default configuration file or disable this feature.  Otherwise, users may experience an unusually high rate of pipeline failures since it is impossible to find new datanodes for replacement. See also dfs.client.block.write.replace-datanode-on-failure.policy  ",true
dfs.client.block.write.replace-datanode-on-failure.policy, This property is used only if the value of dfs.client.block.write.replace-datanode-on-failure.enable is true. ALWAYS: always add a new datanode when an existing datanode is removed.  NEVER: never add a new datanode. DEFAULT:    Let r be the replication number.   Let n be the number of existing datanodes.   Add a new datanode only if r is greater than or equal to 3 and either   (1) floor(r/2) is greater than or equal to n; or   (2) r is greater than n and the block is hflushed/appended.  ,DEFAULT
dfs.client.block.write.replace-datanode-on-failure.best-effort," This property is used only if the value of dfs.client.block.write.replace-datanode-on-failure.enable is true. Best effort means that the client will try to replace a failed datanode in write pipeline (provided that the policy is satisfied), however, it  continues the write operation in case that the datanode replacement also fails. Suppose the datanode replacement fails. false: An exception should be thrown so that the write will fail. true : The write should be resumed with the remaining datandoes.   Note that setting this property to true allows writing to a pipeline with a smaller number of datanodes.  As a result, it increases the probability of data loss.  ",false
